,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Computation_Time(ms),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
341,341,C2-C3-C4-C8,19.742147,14986.198,C2-C3-C4-C8-C16,"(2, 3, 4, 8, 16)",C2-C3-C4-C8-C16,15.880000591278076,11983,13037.092447280884,2625.404357910156,19417.22130775452,2-3-4-8-16,27.338,13081.429999999998
342,342,C3-C4-C7-C8,24.175283,14804.403,C3-C4-C7-C8-C21,"(3, 4, 7, 8, 21)",C3-C4-C7-C8-C21,11.20000034570694,11990,13053.947687149048,2636.49582862854,19422.81913757324,3-4-7-8-21,31.826,13202.27
343,343,C4-C6-C7-C8,22.682573,15553.067,C4-C6-C7-C8-C16,"(4, 6, 7, 8, 16)",C4-C6-C7-C8-C16,12.25000023841858,11983,13036.057949066162,2621.755838394165,19371.58226966858,4-6-7-8-16,22.454,13123.85
344,344,C2-C4-C10,13.435075,13189.349,C2-C4-C10-C17-C22,"(2, 4, 10, 17, 22)",C2-C4-C10-C17-C22,11.93000003695488,11979,13082.244157791138,2637.796401977539,19383.04710388184,2-4-10-17-22,30.142000000000003,13656.010000000002
345,345,C5-C7-C8,18.198391,13100.925,C5-C7-C8-C16-C18,"(5, 7, 8, 16, 18)",C5-C7-C8-C16-C18,14.350000023841858,11988,13075.32286643982,2661.1011028289795,19241.214990615845,5-7-8-16-18,19.776,12962.18
346,346,C5-C6-C9,19.050735,13722.769,C5-C6-C9-C22-C25,"(5, 6, 9, 22, 25)",C5-C6-C9-C22-C25,9.870000183582306,11990,12800.112009048462,2575.9620666503906,19031.489372253414,5-6-9-22-25,28.966,13093.259999999998
347,347,C2-C3-C4-C10,21.50307,14735.184,C2-C3-C4-C10-C24,"(2, 3, 4, 10, 24)",C2-C3-C4-C10-C24,11.12999990582466,11980,12860.929489135742,2606.956958770752,19216.60590171814,2-3-4-10-24,28.312,13267.55
348,348,C1-C6-C10,14.338977,12465.955,C1-C6-C10-C18-C20,"(1, 6, 10, 18, 20)",C1-C6-C10-C18-C20,11.20000034570694,11983,12882.535696029665,2623.053550720215,19021.09456062317,1-6-10-18-20,29.652,13247.320000000002
349,349,C3-C6-C7-C9,26.013458,14536.794,C3-C6-C7-C9-C21,"(3, 6, 7, 9, 21)",C3-C6-C7-C9-C21,12.98000067472458,11996,12870.054721832275,2596.710205078125,19180.16290664673,3-6-7-9-21,30.732,12878.25
350,350,C3-C5-C10,17.962843,13128.708,C3-C5-C10-C22-C25,"(3, 5, 10, 22, 25)",C3-C5-C10-C22-C25,14.519999921321867,11989,12942.08598136902,2609.4770431518555,19123.061418533325,3-5-10-22-25,31.284,13444.16
