,Unnamed: 0,Combination,Global_Accuracy(%)_zero,Global_Latency_Sum(ms)_zero,Prediction_Time(s),New_Combination_zero,Numeric_Tuple,New_Combination_sim,Global_Accuracy(%)_sim,Global_DataVolume,Global_Latency_Sum(ms)_sim,Global_RoundTime_Max(ms),Combination_Computation_Time(s),Numerical_Combination,Global_Accuracy(%)_history,Global_Latency_Sum(ms)_history
120,120,C1-C7-C10,39.3195755478511,9281.295593526578,0.0001013278961181,C1-C7-C10-C21-C24,"(1, 7, 10, 21, 24)",C1-C7-C10-C21-C24,37.540000677108765,13990,9041.393280029297,1830.9249877929688,12.504,1-7-10-21-24,87.172,8460.119999999999
121,121,C2-C3-C6,42.83827465090956,8597.805047983114,7.843971252441406e-05,C2-C3-C6-C19-C23,"(2, 3, 6, 19, 23)",C2-C3-C6-C19-C23,26.739999651908875,13989,8962.776184082031,1817.812204360962,12.48,2-3-6-19-23,80.81200000000001,8404.060000000001
122,122,C4-C6-C7,41.63338303473025,9812.459069691386,7.557868957519531e-05,C4-C6-C7-C21-C22,"(4, 6, 7, 21, 22)",C4-C6-C7-C21-C22,53.65999937057495,13985,8896.85845375061,1803.8651943206787,12.469,4-6-7-21-22,79.94399999999999,8397.32
123,123,C3-C4-C8,43.82504464072951,9506.33703740766,7.319450378417969e-05,C3-C4-C8-C17-C22,"(3, 4, 8, 17, 22)",C3-C4-C8-C17-C22,51.98000073432922,13985,8901.371955871582,1796.044111251831,12.428,3-4-8-17-22,87.678,8412.09
124,124,C1-C9-C10,43.37657007581259,8753.016956701344,7.43865966796875e-05,C1-C9-C10-C17-C19,"(1, 9, 10, 17, 19)",C1-C9-C10-C17-C19,37.25999891757965,13995,8867.212057113647,1785.076141357422,12.243,1-9-10-17-19,91.546,8487.92
125,125,C1-C6-C8,38.33045179437384,8543.979088628816,9.822845458984376e-05,C1-C6-C8-C17-C23,"(1, 6, 8, 17, 23)",C1-C6-C8-C17-C23,33.61999988555908,13990,8768.738746643066,1760.7390880584717,12.174,1-6-8-17-23,86.596,8458.480000000001
126,126,C1-C3-C8,42.26977052769937,8431.964247511587,7.915496826171875e-05,C1-C3-C8-C17-C21,"(1, 3, 8, 17, 21)",C1-C3-C8-C17-C21,56.72000050544739,13995,8899.088382720947,1797.1575260162354,12.373,1-3-8-17-21,91.872,8454.230000000001
127,127,C1-C3-C6-C8,46.06303616138358,10647.849922591942,7.414817810058594e-05,C1-C3-C6-C8-C20,"(1, 3, 6, 8, 20)",C1-C3-C6-C8-C20,33.070001006126404,13983,8927.285194396973,1829.0555477142332,12.409,1-3-6-8-20,84.12,8647.51
128,128,C1-C2-C4-C7,43.70849204559319,10278.862607853966,7.295608520507812e-05,C1-C2-C4-C7-C18,"(1, 2, 4, 7, 18)",C1-C2-C4-C7-C18,22.290000319480896,13984,8767.385005950928,1782.5443744659424,12.289,1-2-4-7-18,83.244,8416.07
129,129,C5-C6-C8-C9,47.520486617992745,11476.270528935283,7.605552673339844e-05,C5-C6-C8-C9-C20,"(5, 6, 8, 9, 20)",C5-C6-C8-C9-C20,48.44000041484833,13983,8761.34967803955,1771.5137004852295,12.257,5-6-8-9-20,81.954,8748.24
130,130,C2-C3-C6-C10,50.73500512714752,10265.203825624552,7.534027099609375e-05,C2-C3-C6-C10-C25,"(2, 3, 6, 10, 25)",C2-C3-C6-C10-C25,41.040000319480896,13984,8725.838661193848,1765.4216289520264,12.174,2-3-6-10-25,79.346,8409.26
131,131,C1-C3-C5,40.71500226738507,8757.117947925393,7.295608520507812e-05,C1-C3-C5-C17-C22,"(1, 3, 5, 17, 22)",C1-C3-C5-C17-C22,57.0900022983551,13995,8807.735681533813,1774.2114067077637,12.264,1-3-5-17-22,86.81400000000001,8573.09
