New_Combination,Predicted_Accuracy(%),Predicted_DataVolume,Predicted_Latency_Sum(ms),Predicted_RoundTime_Max(ms),Numerical_Combination,ZeroShot_Accuracy(%),ZeroShot_DataVolume,ZeroShot_Latency_Sum(ms),ZeroShot_RoundTime_Max(ms),Combo_Set,Historical_Combination,Historical_Accuracy,Historical_DataVolume,Historical_Latency,Historical_RoundTime
C2-C4-C9-C17-C21,12.349999696016312,11990,5086.798906326294,1055.0777912139893,2-4-9-17-21,11.34294,11956.927,60909.168,15458.315,"{'C4', 'C21', 'C17', 'C9', 'C2'}",C2-C4-C9,11.490000039339066,7190.0,,15963.633060455322
C3-C5-C15-C18-C20,13.79999965429306,11991,5374.4752407073975,1190.568208694458,3-5-15-18-20,12.673151,11666.273,57820.95,14697.437,"{'C5', 'C20', 'C15', 'C3', 'C18'}",C3-C5,18.039999902248383,4800.0,,12506.68454170227
C2-C3-C6-C16-C23,8.540000021457672,11984,5755.488634109497,1182.1434497833252,2-3-6-16-23,12.336658,11897.824,60342.164,15211.107,"{'C23', 'C16', 'C2', 'C6', 'C3'}",C2-C3,18.240000307559967,4795.0,,11675.539016723633
C2-C3-C6-C16-C23,8.540000021457672,11984,5755.488634109497,1182.1434497833252,2-3-6-16-23,12.336658,11897.824,60342.164,15211.107,"{'C23', 'C16', 'C2', 'C6', 'C3'}",C2-C6,11.12999990582466,4792.0,,11675.539016723633
C2-C3-C6-C16-C23,8.540000021457672,11984,5755.488634109497,1182.1434497833252,2-3-6-16-23,12.336658,11897.824,60342.164,15211.107,"{'C23', 'C16', 'C2', 'C6', 'C3'}",C3-C6,13.979999721050262,4797.0,,11017.77482032776
C2-C3-C6-C16-C23,8.540000021457672,11984,5755.488634109497,1182.1434497833252,2-3-6-16-23,12.336658,11897.824,60342.164,15211.107,"{'C23', 'C16', 'C2', 'C6', 'C3'}",C2-C3-C6,17.239999771118164,7192.0,,11675.539016723633
C5-C7-C9-C19-C20,11.389999836683272,11997,6081.51912689209,1225.0053882598877,5-7-9-19-20,11.922737,12007.605,61452.23,15437.334,"{'C5', 'C20', 'C7', 'C9', 'C19'}",C5-C7,11.659999936819077,4800.0,,12736.55891418457
C5-C7-C9-C19-C20,11.389999836683272,11997,6081.51912689209,1225.0053882598877,5-7-9-19-20,11.922737,12007.605,61452.23,15437.334,"{'C5', 'C20', 'C7', 'C9', 'C19'}",C5-C9,16.840000450611115,4800.0,,15963.633060455322
C5-C7-C9-C19-C20,11.389999836683272,11997,6081.51912689209,1225.0053882598877,5-7-9-19-20,11.922737,12007.605,61452.23,15437.334,"{'C5', 'C20', 'C7', 'C9', 'C19'}",C7-C9,13.169999420642853,4800.0,,15963.633060455322
C5-C7-C9-C19-C20,11.389999836683272,11997,6081.51912689209,1225.0053882598877,5-7-9-19-20,11.922737,12007.605,61452.23,15437.334,"{'C5', 'C20', 'C7', 'C9', 'C19'}",C5-C7-C9,15.89999943971634,7200.0,,15963.633060455322
C3-C5-C7-C18-C20,13.529999554157255,11991,5573.547840118408,1158.6027145385742,3-5-7-18-20,12.703088,11646.673,57690.5,14760.1045,"{'C5', 'C20', 'C7', 'C3', 'C18'}",C3-C5,18.039999902248383,4800.0,,12506.68454170227
C3-C5-C7-C18-C20,13.529999554157255,11991,5573.547840118408,1158.6027145385742,3-5-7-18-20,12.703088,11646.673,57690.5,14760.1045,"{'C5', 'C20', 'C7', 'C3', 'C18'}",C3-C7,14.949999749660492,4800.0,,12736.55891418457
C3-C5-C7-C18-C20,13.529999554157255,11991,5573.547840118408,1158.6027145385742,3-5-7-18-20,12.703088,11646.673,57690.5,14760.1045,"{'C5', 'C20', 'C7', 'C3', 'C18'}",C5-C7,11.659999936819077,4800.0,,12736.55891418457
C3-C5-C7-C18-C20,13.529999554157255,11991,5573.547840118408,1158.6027145385742,3-5-7-18-20,12.703088,11646.673,57690.5,14760.1045,"{'C5', 'C20', 'C7', 'C3', 'C18'}",C3-C5-C7,15.790000557899477,7200.0,,12736.55891418457
C6-C9-C15-C16-C25,11.789999902248384,11989,5429.603338241577,1122.8950023651123,6-9-15-16-25,12.392069,12354.732,66092.65,16435.014,"{'C25', 'C15', 'C16', 'C9', 'C6'}",C6-C9,10.930000245571136,4797.0,,15963.633060455322
C3-C4-C8-C19-C23,11.659999936819077,11991,5613.129138946533,1240.5641078948977,3-4-8-19-23,12.107237,12003.251,61554.23,15810.818,"{'C4', 'C8', 'C23', 'C3', 'C19'}",C3-C4,9.679999947547913,4795.0,,9391.66235923767
C3-C4-C8-C19-C23,11.659999936819077,11991,5613.129138946533,1240.5641078948977,3-4-8-19-23,12.107237,12003.251,61554.23,15810.818,"{'C4', 'C8', 'C23', 'C3', 'C19'}",C3-C8,13.48000019788742,4796.0,,14680.899620056152
C3-C4-C8-C19-C23,11.659999936819077,11991,5613.129138946533,1240.5641078948977,3-4-8-19-23,12.107237,12003.251,61554.23,15810.818,"{'C4', 'C8', 'C23', 'C3', 'C19'}",C4-C8,10.490000247955322,4791.0,,14680.899620056152
